Node no.,X,Y,Z
439,-1.8029,2.40462,-16.9861
440,-1.99846,2.4669,-16.8337
441,-2.05629,2.405,-16.809
442,-2.12049,2.35576,-16.7781
443,-2.1903,2.30833,-16.7447
444,-1.15461,4.37557,-15.7858
445,-1.16268,4.33232,-15.8512
446,-1.16943,4.28151,-15.9113
447,-1.16944,4.23267,-15.9585
448,-1.1936,4.206,-16.0062
449,-1.13954,4.39176,-15.7171
450,-1.14832,4.42415,-15.6639
451,-1.15274,4.44326,-15.6019
452,-1.24864,4.50131,-15.3392
453,-1.20954,4.40674,-15.2248
454,-1.13442,4.42458,-15.5281
455,-1.17686,4.44699,-15.4002
456,-1.12692,4.40141,-15.4503
457,-1.0658,2.40007,-17.6983
458,-1.1448,2.83545,-17.3575
459,-1.11005,2.78265,-17.4307
460,-1.08654,2.72069,-17.4956
461,-1.07575,2.6465,-17.5533
462,-1.07281,2.56489,-17.6055
463,-1.07156,2.48221,-17.6523
464,-1.10286,2.91914,-17.3122
465,-1.17294,3.13505,-17.0005
466,-1.14642,3.07894,-17.0918
467,-1.10465,3.03496,-17.1809
468,-1.0527,2.99753,-17.2681
469,-1.18088,3.20978,-16.903
470,-1.19504,3.3639,-16.7163
471,-1.18062,3.29125,-16.8064
472,-1.15125,3.44304,-16.6569
473,-1.33362,3.61253,-16.4277
474,-1.26,3.56684,-16.4884
475,-1.20044,3.50965,-16.5644
476,-1.32277,3.69259,-16.3705
477,-1.21874,4.16348,-16.0559
478,-1.25328,4.12402,-16.0996
479,-1.29793,4.08891,-16.1337
480,-1.27242,4.0214,-16.1669
481,-1.2607,3.94869,-16.2087
482,-1.27063,3.86614,-16.26
483,-1.29684,3.77809,-16.3153
484,-1.12124,3.53161,-16.5816
485,-1.05052,2.31922,-17.7466
486,-1.2354,2.20776,-17.599
487,-1.17704,2.21114,-17.6579
488,-1.10631,2.2287,-17.7242
489,-1.43507,2.09732,-17.3891
490,-1.29517,2.16623,-17.5432
491,-1.3643,2.13345,-17.4695
492,-2.19403,3.72308,-15.7032
493,-2.2771,3.8975,-15.6201
494,-2.2449,3.79389,-15.631
495,-2.22043,3.7309,-15.6497
496,-2.14551,3.57225,-15.8126
497,-2.15655,3.62767,-15.7687
498,-2.17646,3.67134,-15.7268
499,-2.19592,3.29648,-15.9683
500,-2.1711,3.37192,-15.93
501,-2.17655,3.43116,-15.8379
502,-2.18882,3.48778,-15.7452
503,-2.33634,3.10279,-15.9195
504,-2.27284,3.20672,-15.8988
505,-2.40971,3.03255,-15.8402
506,-2.46659,2.95726,-15.8503
507,-2.51274,2.90127,-15.8635
508,-2.55874,2.86781,-15.8338
509,-2.61355,2.83555,-15.802
510,-2.66734,2.81426,-15.7575
511,-2.3019,3.869,-15.5307
512,-2.72005,2.76005,-15.8022
513,-2.71253,2.80493,-15.7152
514,-2.91179,2.66035,-15.7685
515,-2.8436,2.68526,-15.7878
516,-2.78037,2.71999,-15.8031
517,-2.97349,2.59146,-15.771
518,-2.98241,2.65535,-15.7314
519,-3.07185,2.48843,-15.7562
520,-2.84246,2.33071,-15.9881
521,-3.16802,2.394,-15.7404
522,-3.08985,2.34766,-15.7827
523,-3.04555,2.29282,-15.8209
524,-2.89914,2.29555,-15.9362
525,-2.95374,2.27736,-15.8918
526,-3.0033,2.26674,-15.8555
527,-2.40949,2.45545,-16.5319
528,-2.38228,2.3879,-16.5877
529,-2.48037,2.41313,-16.4695
530,-2.54029,2.36955,-16.4113
531,-2.76784,2.35436,-16.0812
532,-2.68705,2.42575,-16.1699
533,-2.7675,2.28278,-16.1055
534,-2.66723,2.34825,-16.2357
535,-2.59617,2.33112,-16.3492
536,-2.35891,2.30066,-16.632
537,-2.30535,2.32044,-16.6703
538,-2.25479,2.26179,-16.7126
539,-2.7642,2.23644,-16.1222
540,-1.70628,2.33782,-17.0776
541,-1.65452,2.29923,-17.1306
542,-1.59,2.25438,-17.1996
543,-1.54762,2.14942,-17.2538
544,-1.50275,2.05981,-17.3093
545,-1.92676,2.41777,-16.8907
546,-1.8615,2.35626,-16.9458
547,-1.75766,2.3231,-17.033
548,-1.80969,2.30866,-16.9912
549,-1.98694,2.35366,-16.8592
550,-2.05755,2.30016,-16.8217
551,-2.13361,2.24649,-16.7835
552,-2.19873,2.21252,-16.7504
553,-1.18436,4.35413,-15.17
554,-1.2876,4.4772,-15.2262
555,-1.24411,4.40176,-15.1597
556,-2.31849,3.84955,-15.4273
557,-1.09731,4.32756,-15.724
558,-1.10556,4.29476,-15.7956
559,-1.11313,4.25516,-15.8613
560,-1.12133,4.21232,-15.9226
561,-1.13486,4.17255,-15.9805
562,-1.15568,4.13419,-16.0368
563,-1.09186,4.35421,-15.6484
564,-1.10302,4.38335,-15.5773
565,-1.16958,4.40565,-15.3077
566,-1.1536,4.34929,-15.2186
567,-1.08169,4.35721,-15.5053
568,-1.1173,4.36865,-15.3643
569,-1.07075,4.33534,-15.4264
570,-0.98598,2.40834,-17.7625
571,-0.98936,2.4962,-17.714
572,-1.05611,2.87022,-17.3988
573,-1.02045,2.8135,-17.4771
574,-0.99753,2.74825,-17.5457
575,-0.98869,2.66908,-17.6081
576,-0.98815,2.58324,-17.6642
577,-0.99889,2.95306,-17.3604
578,-1.10725,3.20025,-16.9708
579,-1.08336,3.14443,-17.0613
580,-1.04397,3.10203,-17.148
581,-0.99152,3.06852,-17.2332
582,-0.9358,3.03106,-17.322
583,-1.11146,3.27793,-16.8709
584,-1.04361,3.55291,-16.6001
585,-1.10731,3.37003,-16.7638
586,-1.07093,3.46657,-16.6775
587,-1.24284,3.65088,-16.424
588,-1.1788,3.59683,-16.4932
589,-1.22396,3.73989,-16.3586
590,-1.18442,4.09625,-16.0899
591,-1.22458,4.05979,-16.1334
592,-1.20046,3.99285,-16.1761
593,-1.19306,3.91867,-16.2298
594,-1.20455,3.83229,-16.2922
595,-1.10177,3.61739,-16.5077
596,-0.97435,2.32078,-17.8107
597,-0.90321,2.4074,-17.8265
598,-1.03384,2.23761,-17.79
599,-1.0937,2.14683,-17.7566
600,-1.44435,1.98885,-17.3779
601,-1.23842,2.11803,-17.6118
602,-1.16807,2.11945,-17.6848
603,-1.37664,2.02704,-17.4609
604,-1.30659,2.06184,-17.5429
605,-2.21178,3.66862,-15.6453
606,-2.26739,3.78286,-15.5631
607,-2.23784,3.70831,-15.5941
608,-2.19384,3.54608,-15.6943
609,-2.20609,3.60074,-15.6478
610,-2.23264,3.28785,-15.875
611,-2.21645,3.3555,-15.8154
612,-2.21955,3.41261,-15.7239
613,-2.22318,3.46813,-15.6485
614,-2.35005,3.12181,-15.8209
615,-2.30282,3.20341,-15.7949
616,-2.41691,3.0657,-15.7131
617,-2.4643,3.00154,-15.7308
618,-2.51335,2.93796,-15.7626
619,-2.56569,2.90819,-15.7108
620,-2.62065,2.8812,-15.6697
621,-2.6777,2.8581,-15.6336
622,-2.28535,3.76404,-15.4775
623,-2.29734,3.75586,-15.3777
624,-2.7639,2.77371,-15.7232
625,-2.73983,2.82975,-15.6199
626,-2.89946,2.70219,-15.7344
627,-2.94142,2.67958,-15.7343
628,-2.97411,2.69309,-15.6987
629,-2.83786,2.74037,-15.7195
630,-3.05721,2.602,-15.7223
631,-3.05466,2.6651,-15.6816
632,-3.15687,2.52323,-15.7137
633,-3.2491,2.44443,-15.7021
634,-1.44145,1.88684,-17.3705
635,-1.50569,1.94893,-17.2998
636,-3.2389,2.3266,-15.718
637,-2.82201,2.28158,-16.0284
638,-2.87286,2.24527,-15.9768
639,-3.16388,2.27355,-15.7554
640,-3.09329,2.2372,-15.796
641,-3.0339,2.2149,-15.8386
642,-2.92345,2.21761,-15.9303
643,-2.9774,2.20729,-15.8849
644,-2.80176,2.23025,-16.0678
645,-2.44924,2.34786,-16.5313
646,-2.42279,2.26737,-16.5818
647,-2.50938,2.30931,-16.474
648,-2.56275,2.27458,-16.4173
649,-2.70134,2.28056,-16.2099
650,-2.62456,2.26229,-16.334
651,-2.37052,2.17901,-16.6379
652,-2.30788,2.213,-16.6826
653,-2.23958,2.14888,-16.7315
654,-2.71982,2.22451,-16.1956
655,-2.76375,2.18738,-16.1324
656,-1.71251,2.2451,-17.0797
657,-1.66106,2.18281,-17.1311
658,-1.61197,2.10853,-17.1818
659,-1.564,2.02225,-17.2349
660,-1.91834,2.28565,-16.9101
661,-1.84928,2.23376,-16.965
662,-1.77779,2.22206,-17.0234
663,-1.98966,2.22359,-16.8685
664,-2.07891,2.17313,-16.8186
665,-2.16454,2.13734,-16.7735
666,-1.20246,4.3392,-15.1119
667,-1.14414,4.29323,-15.1215
668,-1.33415,4.45094,-15.1155
